filename,original_frame_number,timestamp_seconds,selection_status
frame_000001.jpg,1,0.000000,rejected
frame_000002.jpg,10,0.360000,rejected
frame_000003.jpg,18,0.680000,selected
frame_000004.jpg,26,1.000000,selected
frame_000005.jpg,35,1.360000,selected
frame_000006.jpg,43,1.680000,rejected
frame_000007.jpg,51,2.000000,rejected
frame_000008.jpg,60,2.360000,rejected
frame_000009.jpg,68,2.680000,rejected
frame_000010.jpg,76,3.000000,rejected
frame_000011.jpg,85,3.360000,rejected
frame_000012.jpg,93,3.680000,rejected
frame_000013.jpg,101,4.000000,rejected
frame_000014.jpg,110,4.360000,rejected
frame_000015.jpg,118,4.680000,rejected
frame_000016.jpg,126,5.000000,rejected
frame_000017.jpg,135,5.360000,rejected
frame_000018.jpg,143,5.680000,rejected
frame_000019.jpg,151,6.000000,rejected
frame_000020.jpg,160,6.360000,rejected
frame_000021.jpg,168,6.680000,rejected
frame_000022.jpg,176,7.000000,rejected
frame_000023.jpg,185,7.360000,rejected
frame_000024.jpg,193,7.680000,rejected
frame_000025.jpg,201,8.000000,rejected
frame_000026.jpg,210,8.360000,rejected
frame_000027.jpg,218,8.680000,rejected
frame_000028.jpg,226,9.000000,rejected
frame_000029.jpg,235,9.360000,rejected
frame_000030.jpg,243,9.680000,rejected
frame_000031.jpg,251,10.000000,rejected
frame_000032.jpg,260,10.360000,rejected
frame_000033.jpg,268,10.680000,rejected
frame_000034.jpg,276,11.000000,rejected
frame_000035.jpg,285,11.360000,rejected
frame_000036.jpg,293,11.680000,rejected
frame_000037.jpg,301,12.000000,rejected
frame_000038.jpg,310,12.360000,rejected
frame_000039.jpg,318,12.680000,rejected
frame_000040.jpg,326,13.000000,selected
frame_000041.jpg,335,13.360000,selected
frame_000042.jpg,343,13.680000,selected
frame_000043.jpg,351,14.000000,selected
frame_000044.jpg,360,14.360000,selected
frame_000045.jpg,368,14.680000,selected
frame_000046.jpg,376,15.000000,selected
frame_000047.jpg,385,15.360000,selected
frame_000048.jpg,393,15.680000,rejected
frame_000049.jpg,401,16.000000,rejected
frame_000050.jpg,410,16.360000,rejected
frame_000051.jpg,418,16.680000,rejected
frame_000052.jpg,426,17.000000,rejected
frame_000053.jpg,435,17.360000,rejected
frame_000054.jpg,443,17.680000,rejected
frame_000055.jpg,451,18.000000,selected
frame_000056.jpg,460,18.360000,selected
frame_000057.jpg,468,18.680000,selected
frame_000058.jpg,476,19.000000,selected
frame_000059.jpg,485,19.360000,selected
frame_000060.jpg,493,19.680000,selected
frame_000061.jpg,501,20.000000,selected
frame_000062.jpg,510,20.360000,selected
frame_000063.jpg,518,20.680000,selected
frame_000064.jpg,526,21.000000,rejected
frame_000065.jpg,535,21.360000,selected
frame_000066.jpg,543,21.680000,selected
frame_000067.jpg,551,22.000000,selected
frame_000068.jpg,560,22.360000,selected
frame_000069.jpg,568,22.680000,selected
frame_000070.jpg,576,23.000000,selected
frame_000071.jpg,585,23.360000,selected
frame_000072.jpg,593,23.680000,rejected
frame_000073.jpg,601,24.000000,rejected
frame_000074.jpg,610,24.360000,selected
frame_000075.jpg,618,24.680000,selected
frame_000076.jpg,626,25.000000,selected
frame_000077.jpg,635,25.360000,selected
frame_000078.jpg,643,25.680000,selected
frame_000079.jpg,651,26.000000,selected
frame_000080.jpg,660,26.360000,selected
frame_000081.jpg,668,26.680000,selected
frame_000082.jpg,676,27.000000,selected
frame_000083.jpg,685,27.360000,selected
frame_000084.jpg,693,27.680000,selected
frame_000085.jpg,701,28.000000,selected
frame_000086.jpg,710,28.360000,rejected
frame_000087.jpg,718,28.680000,rejected
frame_000088.jpg,726,29.000000,rejected
frame_000089.jpg,735,29.360000,rejected
frame_000090.jpg,743,29.680000,rejected
frame_000091.jpg,751,30.000000,rejected
frame_000092.jpg,760,30.360000,rejected
frame_000093.jpg,768,30.680000,selected
frame_000094.jpg,776,31.000000,selected
frame_000095.jpg,785,31.360000,selected
frame_000096.jpg,793,31.680000,rejected
frame_000097.jpg,801,32.000000,selected
frame_000098.jpg,810,32.360000,selected
frame_000099.jpg,818,32.680000,rejected
frame_000100.jpg,826,33.000000,rejected
frame_000101.jpg,835,33.360000,rejected
frame_000102.jpg,843,33.680000,rejected
frame_000103.jpg,851,34.000000,selected
frame_000104.jpg,860,34.360000,selected
frame_000105.jpg,868,34.680000,rejected
frame_000106.jpg,876,35.000000,selected
frame_000107.jpg,885,35.360000,selected
frame_000108.jpg,893,35.680000,selected
frame_000109.jpg,901,36.000000,selected
frame_000110.jpg,910,36.360000,selected
frame_000111.jpg,918,36.680000,selected
frame_000112.jpg,926,37.000000,selected
frame_000113.jpg,935,37.360000,selected
frame_000114.jpg,943,37.680000,selected
frame_000115.jpg,951,38.000000,selected
frame_000116.jpg,960,38.360000,selected
frame_000117.jpg,968,38.680000,selected
frame_000118.jpg,976,39.000000,rejected
frame_000119.jpg,985,39.360000,selected
frame_000120.jpg,993,39.680000,selected
frame_000121.jpg,1001,40.000000,selected
frame_000122.jpg,1010,40.360000,selected
frame_000123.jpg,1018,40.680000,rejected
frame_000124.jpg,1026,41.000000,rejected
frame_000125.jpg,1035,41.360000,selected
frame_000126.jpg,1043,41.680000,selected
frame_000127.jpg,1051,42.000000,selected
frame_000128.jpg,1060,42.360000,selected
frame_000129.jpg,1068,42.680000,selected
frame_000130.jpg,1076,43.000000,selected
frame_000131.jpg,1085,43.360000,selected
frame_000132.jpg,1093,43.680000,selected
frame_000133.jpg,1101,44.000000,selected
frame_000134.jpg,1110,44.360000,selected
frame_000135.jpg,1118,44.680000,selected
frame_000136.jpg,1126,45.000000,selected
frame_000137.jpg,1135,45.360000,selected
frame_000138.jpg,1143,45.680000,selected
frame_000139.jpg,1151,46.000000,rejected
frame_000140.jpg,1160,46.360000,rejected
frame_000141.jpg,1168,46.680000,rejected
frame_000142.jpg,1176,47.000000,rejected
frame_000143.jpg,1185,47.360000,rejected
frame_000144.jpg,1193,47.680000,rejected
frame_000145.jpg,1201,48.000000,rejected
frame_000146.jpg,1210,48.360000,rejected
frame_000147.jpg,1218,48.680000,rejected
frame_000148.jpg,1226,49.000000,rejected
frame_000149.jpg,1235,49.360000,rejected
frame_000150.jpg,1243,49.680000,rejected
frame_000151.jpg,1251,50.000000,rejected
frame_000152.jpg,1260,50.360000,rejected
frame_000153.jpg,1268,50.680000,rejected
frame_000154.jpg,1276,51.000000,rejected
frame_000155.jpg,1285,51.360000,rejected
frame_000156.jpg,1293,51.680000,rejected
frame_000157.jpg,1301,52.000000,selected
frame_000158.jpg,1310,52.360000,selected
frame_000159.jpg,1318,52.680000,selected
frame_000160.jpg,1326,53.000000,selected
frame_000161.jpg,1335,53.360000,selected
frame_000162.jpg,1343,53.680000,selected
frame_000163.jpg,1351,54.000000,selected
frame_000164.jpg,1360,54.360000,selected
frame_000165.jpg,1368,54.680000,selected
frame_000166.jpg,1376,55.000000,rejected
frame_000167.jpg,1385,55.360000,rejected
frame_000168.jpg,1393,55.680000,rejected
frame_000169.jpg,1401,56.000000,rejected
frame_000170.jpg,1410,56.360000,rejected
frame_000171.jpg,1418,56.680000,rejected
frame_000172.jpg,1426,57.000000,rejected
frame_000173.jpg,1435,57.360000,rejected
frame_000174.jpg,1443,57.680000,rejected
frame_000175.jpg,1451,58.000000,rejected
frame_000176.jpg,1460,58.360000,rejected
frame_000177.jpg,1468,58.680000,rejected
frame_000178.jpg,1476,59.000000,rejected
frame_000179.jpg,1485,59.360000,rejected
frame_000180.jpg,1493,59.680000,rejected
frame_000181.jpg,1501,60.000000,rejected
frame_000182.jpg,1510,60.360000,rejected
frame_000183.jpg,1518,60.680000,rejected
frame_000184.jpg,1526,61.000000,rejected
frame_000185.jpg,1535,61.360000,rejected
frame_000186.jpg,1543,61.680000,rejected
frame_000187.jpg,1551,62.000000,rejected
frame_000188.jpg,1560,62.360000,rejected
frame_000189.jpg,1568,62.680000,rejected
frame_000190.jpg,1576,63.000000,rejected
frame_000191.jpg,1585,63.360000,rejected
frame_000192.jpg,1593,63.680000,rejected
frame_000193.jpg,1601,64.000000,rejected
frame_000194.jpg,1610,64.360000,rejected
frame_000195.jpg,1618,64.680000,rejected
